조사년도,조사월,측정소명,Rain ,WT,pH,DO ,BOD ,COD ,SS ,EC ,TN ,TP ,TOC 
2017,2,영산포-1,39.45,5,8,13.9,6.5,11.5,23.6,403,5.665,0.111,7.6
2017,3,영산포-1,6.95,9.2,7.7,11.7,5,8.9,12,398,5.857,0.085,6.6
2017,4,영산포-1,8.35,15.6,7.2,10.9,6,9.8,11,359,5.697,0.134,7.9
2017,5,영산포-1,31.2,21.2,7.5,10.5,4.3,10.1,12.1,373,4.327,0.066,7.5
2017,6,영산포-1,91.8,24,7.4,6.8,5.2,14.2,20.1,386,3.892,0.092,10.2
2017,7,영산포-1,181.31,27.3,7,5.2,4.3,8.8,17.1,252,3.168,0.135,7.3
2017,8,영산포-1,269.74,27.5,7.3,6.7,4.4,8.6,22.8,220,3.01,0.159,6.3
2017,9,영산포-1,114.74,24,6.9,7.6,3.6,7.7,12.8,180,2.183,0.1,5.8
2017,10,영산포-1,66.5,18.8,7.4,8.8,3.5,7.1,11.8,272,2.886,0.078,5.4
2017,11,영산포-1,1.95,11.7,7.7,10.5,3.3,7.5,12.5,397,4.581,0.073,5.9
2017,12,영산포-1,28.24,6,8.1,10.9,2.6,7.2,7.8,496,5.655,0.071,5.7
2013,1,삼포천2,52.31,3.6,7.6,13.4,4,10.9,116.1,460,3.757,0.081,6.9
2013,2,삼포천2,72.76,3.9,7,13.7,2.7,10.7,65.8,386,3.731,0.122,6.1
2013,3,삼포천2,46.35,9,7.4,11.4,3.9,11.6,75,364,3.932,0.156,7.3
2013,4,삼포천2,153.07,13.6,7.4,10.5,3.6,10.1,93.6,309,3.229,0.107,5.5
2013,5,삼포천2,83.92,21.2,7.4,8.6,5.4,12.4,83.6,408,3.871,0.138,6.2
2013,6,삼포천2,217.35,25.6,7.5,7.2,7.6,16.8,78.7,429,3.114,0.142,8.4
2013,7,삼포천2,189.16,28,7.4,6.5,2.8,10.9,149.8,279,2.504,0.224,7.3
2013,8,삼포천2,138.9,30.2,7.5,6.1,3.9,12.6,116.9,260,1.811,0.229,7.6
2013,9,삼포천2,18.08,23.8,7.4,7.2,3.8,9.5,124.9,241,1.461,0.199,6.8
2013,10,삼포천2,95.91,18.2,7.6,7.8,4.4,10.1,211.3,324,2.191,0.276,6.5
2013,11,삼포천2,15.08,11.3,7.5,10.9,3.1,7.9,103.4,448,2.424,0.186,5.3
2013,12,삼포천2,13.99,5.7,7.2,12,3.5,11.8,78.7,441,3.533,0.147,6.2
2014,1,삼포천2,17.87,2.3,8.6,14.7,5.6,12.5,93.3,573,3.496,0.134,7
2014,2,삼포천2,89.84,5.4,8.3,13.6,3.7,8.6,43.3,577,3.112,0.106,6
2014,3,삼포천2,70.82,9.4,7.5,11.2,3.8,7.5,43.2,654,3.742,0.135,4.7
2014,4,삼포천2,25.47,17.2,7.8,10.2,4.5,9.7,49.7,534,4.127,0.117,6.1
2014,5,삼포천2,20.96,22.7,7.4,8,3.6,6.4,76.5,637,3.279,0.185,7.4
2014,6,삼포천2,40.39,26.8,8.1,7.5,5.4,13.5,65.4,480,2.24,0.199,10.8
2014,7,삼포천2,109.92,26,7.5,6.7,6.7,14.9,126.1,382,2.18,0.215,9.8
2014,8,삼포천2,39.51,26,7,5.1,3.8,7.7,61.8,216,1.874,0.22,5.7
2014,9,삼포천2,30.02,23,7.2,5.8,3,7.1,66.3,259,1.385,0.199,5.6
2014,10,삼포천2,91.45,19.4,7.5,8.3,4.2,8.9,110.5,286,2.168,0.204,5.5
2014,11,삼포천2,78.69,10.7,7.5,9.4,4.6,9.6,132.6,292,2.713,0.309,6.1
2014,12,삼포천2,37.9,3.6,6.8,14.4,4.4,12,293,362,3.175,0.312,5.8
2015,1,삼포천2,25.83,3.4,7.5,14.5,3.9,7.3,43.7,450,3.345,0.117,5.1
2015,2,삼포천2,34.55,3.6,8,16.4,5.3,8.6,28.7,405,3.8,0.096,5.2
2015,3,삼포천2,163.67,9.9,7.3,11.5,3.2,8.4,92.7,486,3.65,0.137,5.2
2015,4,삼포천2,86.18,16.1,7.7,9.8,5.9,9.7,62.2,445,4.038,0.151,6.5
2015,5,삼포천2,120.74,21.9,7.4,9.4,8,11,108,466,3.354,0.211,7.7
2015,6,삼포천2,176.39,26.3,7.5,7,5.9,13.2,68.4,456,2.121,0.183,10.2
2015,7,삼포천2,102.56,27.1,7.6,6.8,6.1,12.1,54.3,299,2.657,0.19,8.1
2015,8,삼포천2,76.16,26.8,7,4.8,5.3,9.2,54,303,2.08,0.206,6.9
2015,9,삼포천2,81.14,24.1,7.3,5.7,3.4,7.6,44.7,292,1.584,0.147,6.1
2015,10,삼포천2,100.58,20.4,7.5,7.8,4.6,8.3,53.3,265,2.438,0.206,6.2
2015,11,삼포천2,65.12,14.6,7.4,8.7,4.3,12.2,93.5,350,2.527,0.209,5.8
2015,12,삼포천2,73.24,7.9,7.4,11.1,3.7,8.7,63.2,427,3.652,0.148,4.8
2016,1,삼포천2,40.2,0.6,7.6,16.7,2.7,7.1,49.2,428,3.087,0.102,6
2016,2,삼포천2,63.93,4.6,7.5,13.8,6.3,11.2,107.7,412,4.125,0.234,9.1
2016,3,삼포천2,194.64,11.6,7.5,13.2,5.5,11.6,86.9,439,3.395,0.144,8.6
2016,4,삼포천2,120.89,19.3,7.5,11.5,4.5,8.9,62.3,385,3.061,0.137,6.7
2016,5,삼포천2,131.64,20.8,7,8.2,3.9,10.7,93.1,330,2.698,0.175,8
2016,6,삼포천2,238.92,27.6,7.4,9.2,7.8,15.3,80.7,350,2.58,0.193,11.3
2016,7,삼포천2,25.13,27.4,7.1,6.9,4.3,9.6,85.6,226,2.087,0.209,7.6
2016,8,삼포천2,202.5,29.6,7.3,5.7,3.5,10.2,71.5,322,1.159,0.158,7.6
2016,9,삼포천2,204.98,24.4,7.2,6,2.7,9.8,37.2,249,1.849,0.125,6.2
2016,10,삼포천2,66.12,19.6,7.4,6.3,2.9,10.6,116.2,228,2.414,0.238,7
2016,11,삼포천2,48.23,11.4,7,10.6,3.7,9.6,136.2,400,3.103,0.208,6.7
2016,12,삼포천2,13.04,6.5,7.5,12.9,3.6,9.1,53.1,439,3.124,0.111,5.4
2017,1,삼포천2,31.55,4.1,7.4,11.8,3.6,9.8,38.2,575,3.591,0.122,6.5
2017,2,삼포천2,3.64,4.7,7.7,13.9,4.6,9.6,38.4,610,3.773,0.117,7.2
2017,3,삼포천2,6.29,8.9,7.6,12.4,3.7,7.8,47.3,675,4.163,0.091,5.6
2017,4,삼포천2,17.77,16.9,7.6,9.9,4.8,10.8,66.9,696,3.493,0.149,7.4
2017,5,삼포천2,69.08,23,7.3,9.6,4.6,12.8,65,803,3.224,0.119,9.6
2017,6,삼포천2,125.33,25.6,7.3,8,4.4,15.3,75.9,711,2.237,0.123,13.3
2017,7,삼포천2,216.94,29.8,7.8,7.2,4.4,16,109.1,516,2.095,0.165,12.6
2017,8,삼포천2,115.2,28.3,7.2,6.6,3.8,11.1,57.7,339,1.885,0.177,7.8
2017,9,삼포천2,49.27,23.7,7,6.1,2.6,9,64.1,253,1.674,0.143,6.5
2017,10,삼포천2,1.56,18.3,6.9,8.2,3.8,8.8,86.6,356,1.985,0.132,7
2017,11,삼포천2,40.44,11,7.5,10.6,2.7,7.8,77,387,2.442,0.132,6.3
2017,12,삼포천2,53.81,4,7.6,13.1,2.3,6.5,23,518,3.177,0.072,4.8
2013,1,영산호3,15.1,1.8,7.7,21.1,3.7,7.7,18.8,597,3.808,0.051,3.4
2013,2,영산호3,52.31,4.1,6.8,14.6,4.3,7.2,25.2,326,4.625,0.113,3.5
2013,3,영산호3,72.76,9.1,7.9,12,3,5.6,12,263,3.883,0.036,2.8
2013,4,영산호3,46.35,14.3,6.9,9.6,2.5,6.4,22.4,225,3.396,0.072,4.6
2013,5,영산호3,153.07,22.9,7.7,9.3,1.9,6.1,4,325,4.251,0.038,3.4
2013,6,영산호3,83.92,23.3,6,5.6,8.2,8.5,88.8,271,4.118,0.097,4.8
2013,7,영산호3,217.35,24.7,7.3,7.5,2.1,6.4,25.2,178,2.592,0.166,3.4
2013,8,영산호3,189.16,31.1,7.6,6.3,0.9,6.8,41.6,245,2.38,0.074,3.9
2013,9,영산호3,138.9,24.1,7.4,7.7,1.6,7.6,48.4,144,2.453,0.157,3.6
2013,10,영산호3,18.08,19.9,8.3,7.9,1.6,6.5,58,215,2.669,0.097,3.5
2013,11,영산호3,95.91,18.3,7.7,6.7,2.4,6,20.8,438,2.85,0.078,3
