Date,Chla,y_t+1,Chla_t-12,Chla_t-11,Chla_t-10,Chla_t-9,Chla_t-8,Chla_t-7,Chla_t-6,Chla_t-5,Chla_t-4,Chla_t-3,Chla_t-2,Chla_t-1,Chla_t-0
2019.09.24,6.8,63.5,16.3,22,73,8.9,7.3,54.9,23.4,89.4,47,33.9,12.8,34.1,6.8
2019.09.30,63.5,6.9,22,73,8.9,7.3,54.9,23.4,89.4,47,33.9,12.8,34.1,6.8,63.5
2019.10.07,6.9,65.3,73,8.9,7.3,54.9,23.4,89.4,47,33.9,12.8,34.1,6.8,63.5,6.9
2019.10.14,65.3,30.7,8.9,7.3,54.9,23.4,89.4,47,33.9,12.8,34.1,6.8,63.5,6.9,65.3
2019.10.21,30.7,33.5,7.3,54.9,23.4,89.4,47,33.9,12.8,34.1,6.8,63.5,6.9,65.3,30.7
2019.10.28,33.5,65.8,54.9,23.4,89.4,47,33.9,12.8,34.1,6.8,63.5,6.9,65.3,30.7,33.5
2019.11.04,65.8,84.6,23.4,89.4,47,33.9,12.8,34.1,6.8,63.5,6.9,65.3,30.7,33.5,65.8
2019.11.11,84.6,50.5,89.4,47,33.9,12.8,34.1,6.8,63.5,6.9,65.3,30.7,33.5,65.8,84.6
2019.11.18,50.5,32.3,47,33.9,12.8,34.1,6.8,63.5,6.9,65.3,30.7,33.5,65.8,84.6,50.5
2019.11.25,32.3,35.8,33.9,12.8,34.1,6.8,63.5,6.9,65.3,30.7,33.5,65.8,84.6,50.5,32.3
2019.12.02,35.8,12.5,12.8,34.1,6.8,63.5,6.9,65.3,30.7,33.5,65.8,84.6,50.5,32.3,35.8
2019.12.09,12.5,20.9,34.1,6.8,63.5,6.9,65.3,30.7,33.5,65.8,84.6,50.5,32.3,35.8,12.5
2019.12.16,20.9,13.2,6.8,63.5,6.9,65.3,30.7,33.5,65.8,84.6,50.5,32.3,35.8,12.5,20.9
2019.12.23,13.2,34,63.5,6.9,65.3,30.7,33.5,65.8,84.6,50.5,32.3,35.8,12.5,20.9,13.2
2020.01.06,34,24.7,6.9,65.3,30.7,33.5,65.8,84.6,50.5,32.3,35.8,12.5,20.9,13.2,34
2020.01.13,24.7,58.2,65.3,30.7,33.5,65.8,84.6,50.5,32.3,35.8,12.5,20.9,13.2,34,24.7
2020.01.20,58.2,51.4,30.7,33.5,65.8,84.6,50.5,32.3,35.8,12.5,20.9,13.2,34,24.7,58.2
2020.01.28,51.4,58.9,33.5,65.8,84.6,50.5,32.3,35.8,12.5,20.9,13.2,34,24.7,58.2,51.4
2020.02.03,58.9,126.9,65.8,84.6,50.5,32.3,35.8,12.5,20.9,13.2,34,24.7,58.2,51.4,58.9
2020.02.10,126.9,49.6,84.6,50.5,32.3,35.8,12.5,20.9,13.2,34,24.7,58.2,51.4,58.9,126.9
2020.02.18,49.6,80.6,50.5,32.3,35.8,12.5,20.9,13.2,34,24.7,58.2,51.4,58.9,126.9,49.6
2020.02.24,80.6,43.5,32.3,35.8,12.5,20.9,13.2,34,24.7,58.2,51.4,58.9,126.9,49.6,80.6
2020.03.02,43.5,83.9,35.8,12.5,20.9,13.2,34,24.7,58.2,51.4,58.9,126.9,49.6,80.6,43.5
2020.03.09,83.9,84,12.5,20.9,13.2,34,24.7,58.2,51.4,58.9,126.9,49.6,80.6,43.5,83.9
2020.03.16,84,52.8,20.9,13.2,34,24.7,58.2,51.4,58.9,126.9,49.6,80.6,43.5,83.9,84
2020.03.23,52.8,72.6,13.2,34,24.7,58.2,51.4,58.9,126.9,49.6,80.6,43.5,83.9,84,52.8
