yyyymm,pH,DO,BOD,COD,SS,TN,TP,WT,EC,TC,NH3N,NO3N,FC
2015/01,7.2,13.9,1.6,3.8,4.6,2.619,0.044,4.3,279,1260,0.151,2.083,139
2015/02,7.1,12.7,2,3.6,4.6,2.589,0.051,4.8,315,2605,0.145,2.112,785
2015/03,7.6,12.2,4.4,7.8,12.2,2.085,0.075,8.3,376,799,0.077,1.416,158
2015/04,7.6,10,4.3,7.5,20.2,1.819,0.119,15.4,285,7938,0.158,0.982,410
2015/05,7.2,7.8,3.4,7,12.1,1.724,0.119,19.7,255,1170,0.306,0.743,163
2015/06,7,7.8,3.6,9.1,13,2.624,0.134,23.3,268,2422,0.323,1.222,532
2015/07,7.2,7.7,2,6.4,8,2.241,0.125,26,237,3755,0.074,1.018,530
2015/08,7,7.7,2,5.4,7.6,1.403,0.11,26.2,231,4500,0.063,0.574,611
2015/09,7.2,8.4,1.3,5.1,4.2,1.276,0.086,21.8,290,2410,0.062,0.635,396
2015/10,7.1,9,1.7,5.7,5.7,1.596,0.09,18.2,298,8925,0.126,0.888,1448
2015/11,7,9.7,2.3,6.2,5.2,2.306,0.113,13.5,294,10200,0.304,0.983,1354
2015/12,7,12.3,1.5,4.2,2.3,2.745,0.066,7.3,301,6880,0.183,1.9,252
2016/01,7.5,12.3,1.5,3.5,4.1,3.025,0.059,4.7,317,2500,0.236,2.447,120
2016/02,7.1,13.5,2.1,4.5,8.6,2.744,0.073,4.7,271,8075,0.248,1.956,468
2016/03,7.2,12,2.7,5.6,15.1,2.506,0.096,9,287,6940,0.181,1.916,328
2016/04,7.3,10.1,3,6.6,16.9,1.907,0.108,16,255,3475,0.14,1.332,745
2016/05,7.1,11.2,1.9,5.6,11.3,1.773,0.092,19.8,264,4475,0.121,1.084,375
2016/06,6.9,6.9,2.6,8,12.6,2.377,0.119,23.5,243,4700,0.249,1.156,296
2016/07,7.1,7.9,2.4,5.7,11.8,1.852,0.119,26.1,204,11300,0.089,1.298,1293
