Flow,Rain,Day,Speed,WT,DO,BOD,COD,TOC,TN,NO3N,NH3N,TP,PO4P,Chla,time
15.7,0,18,0.04,6.7,10.2,2.7,7,5.8,6.084,3.679,1.643,0.049,0.018,13.2,1452
19.58,15.5,12.9,0.04,5.7,12.9,3.8,8.2,7.4,5.909,3.619,1.52,0.042,0,34,1466
28.57,0,7.7,0.06,6.8,10.6,3.4,7.5,5.9,4.186,2.719,0.658,0.139,0.085,24.7,1473
24.68,0,10,0.05,5.6,14.5,4.3,9.3,6.6,5.036,3.402,0.899,0.107,0.02,58.2,1480
37.46,0,5.6,0.08,6.8,14.3,5.2,9.5,6.7,5.881,3.752,1.56,0.092,0.012,51.4,1488
31.91,0,6.9,0.07,7.8,15.5,6.8,12,8.2,5.353,3.149,1.566,0.143,0.022,58.9,1494
20.99,0,11.9,0.05,6.6,17.6,7.9,13.7,9.4,5.148,3.255,1.292,0.133,0.013,126.9,1501
34.54,0,6.3,0.08,6.4,12.7,5.5,9.6,6.2,6.086,3.485,1.651,0.097,0.011,49.6,1509
36.19,0.9,6,0.08,8.4,16.4,6.7,12.2,7.6,5.915,2.68,1.996,0.106,0.018,80.6,1515
39.17,0,5.4,0.09,10.2,13.6,6.2,11.2,7.9,5.021,2.848,1.482,0.139,0.016,43.5,1522
35.09,4.5,6.2,0.08,10.1,14.5,7.4,11.7,8,4.638,2.462,1.228,0.107,0.002,83.9,1529
23.42,0,10.6,0.05,10.3,14.1,7,12.8,7.7,5.289,2.949,1.565,0.097,0.004,84,1536
17.14,0,15.1,0.04,13.2,12.7,6.7,12.3,6.9,4.868,2.405,1.583,0.086,0.009,52.8,1543
21.97,0,11.4,0.05,13.6,7.7,7,12.6,7.5,5.663,2.821,1.921,0.098,0.019,72.6,1550
15.89,0,16.4,0.04,14.2,11.8,8,13.5,9.5,6.107,2.42,1.881,0.184,0.017,104.9,1557
15.95,0,16.3,0.04,14.1,10.2,5.8,11.2,7.4,3.687,1.796,1.152,0.066,0.01,46.3,1564
77.95,0,2.3,0.17,15.6,9,6.1,12,8.1,6.263,2.735,2.561,0.064,0.027,50.3,1571
15.95,0,11.4,0.03,15.6,11.9,7.2,12.3,7.8,3.355,1.598,1.225,0.093,0.012,48.5,1578
28.12,0,8.7,0.06,19.5,7.9,5.7,9.9,7.1,3.502,1.605,1.122,0.071,0.014,44.1,1585
34.03,0,5.9,0.08,20,7.3,5.6,10.2,7.2,4.331,1.231,2.425,0.094,0.034,33.7,1592
33.12,14.3,6,0.07,20.6,5.4,3.9,9.1,6.3,3.505,1.307,1.494,0.095,0.03,24.9,1599
31.56,0,5.7,0.07,20.6,8,6.4,9.9,6.7,4.024,1.352,1.723,0.069,0.008,63.1,1606
42.03,0,4.9,0.09,22.6,6.6,4.5,9.5,6.1,3.874,1.475,1.517,0.087,0.019,22.7,1613
26.37,0,6.2,0.06,25.5,7.1,4.6,12.1,7.5,4.029,1.457,1.394,0.096,0.033,24.7,1620
114.48,0,1.3,0.24,24.2,5.4,3.7,10,6.9,3.095,1.621,0.736,0.158,0.1,7.6,1627
58.42,0,3.9,0.12,24,7.8,5.9,9.9,6.1,2.834,1.909,0.128,0.128,0.024,74.8,1634
76.68,0,2.3,0.16,23.2,5.1,4.5,9.2,7.2,3.907,1.464,1.651,0.164,0.108,31.5,1643
28.5,0.3,4.4,0.06,23.7,6.5,3.5,9.5,6.1,2.723,1.521,0.408,0.096,0.038,50.6,1648
290.17,9.8,0.7,0.58,20.9,7.8,1.8,6.6,4.9,2.265,1.589,0.277,0.118,0.075,7,1657
