T-N,T-P,NH3-N,PO4-P,Rain
3.717,0.097,1.135,0.032,168.6
3.009,0.116,0.459,0.043,150.2
2.745,0.154,0.804,0.07,358.6
2.585,0.095,0.251,0.049,106.4
2.898,0.128,0.219,0.03,107.4
4.147,0.136,0.95,0.033,37.8
4.971,0.159,1.212,0.032,25.2
7.118,0.13,1.624,0.021,12.5
6.277,0.157,2.434,0.014,28.1
6.171,0.127,2.785,0.024,26.3
4.295,0.16,1.758,0.022,65.2
4.093,0.151,2.031,0.05,62.7
2.939,0.112,0.995,0.018,122.2
2.494,0.116,0.38,0.05,182.7
2.069,0.113,0.499,0.061,53.7
2.399,0.12,0.176,0.082,132
3.255,0.075,0.206,0.023,115.7
4.056,0.051,0.362,0.017,17.1
5.492,0.091,1.965,0.058,24.7
4.808,0.085,1.085,0.013,45
5.078,0.081,1.292,0.004,24.6
5.719,0.096,1.868,0.008,35.7
4.621,0.103,1.609,0.02,150.7
3.145,0.1,0.795,0.027,59.4
3.573,0.085,1.104,0.012,104.1
2.907,0.129,0.451,0.04,162.6
2.893,0.183,0.514,0.054,125.9
2.433,0.121,0.261,0.02,71.4
2.975,0.11,0.498,0.025,88.4
3.721,0.1,0.587,0.018,116.3
4.374,0.116,0.838,0.051,62.9
4.621,0.088,0.154,0.007,60.7
5.102,0.129,0.937,0.033,43.5
3.945,0.109,0.566,0.012,55.1
3.519,0.099,0.499,0.02,187.6
2.858,0.116,0.248,0.038,110.2
3.481,0.123,0.745,0.028,122.5
2.324,0.15,0.239,0.066,282.2
2.126,0.141,0.243,0.059,58.7
2.447,0.134,0.331,0.069,231.6
3.149,0.275,0.355,0.155,211.7
3.727,0.111,0.404,0.039,42.6
4.374,0.08,0.573,0.017,45.3
4.429,0.097,0.746,0.027,12.5
5.129,0.102,0.457,0.008,38.4
5.711,0.068,1.773,0.015,6.1
5.336,0.078,1.643,0.01,7.9
3.728,0.059,0.79,0.011,22.6
3.847,0.096,0.97,0.011,37.1
3.315,0.13,1.039,0.057,184.6
3.117,0.148,0.99,0.072,246.9
2.144,0.101,0.152,0.055,109
2.717,0.085,0.491,0.026,77
