 Date,Chla,y_t+1,Chla_t-12,Chla_t-11,Chla_t-10,Chla_t-9,Chla_t-8,Chla_t-7,Chla_t-6,Chla_t-5,Chla_t-4,Chla_t-3,Chla_t-2,Chla_t-1,Chla_t-0
2019.02.07,99,121.4,31.8,36.9,73.2,85.5,77.5,74,45.8,51.3,31.4,44.7,32.4,59.6,99
2019.02.11,121.4,92.2,36.9,73.2,85.5,77.5,74,45.8,51.3,31.4,44.7,32.4,59.6,99,121.4
2019.02.18,92.2,148.2,73.2,85.5,77.5,74,45.8,51.3,31.4,44.7,32.4,59.6,99,121.4,92.2
2019.02.25,148.2,68.1,85.5,77.5,74,45.8,51.3,31.4,44.7,32.4,59.6,99,121.4,92.2,148.2
2019.03.04,68.1,76.8,77.5,74,45.8,51.3,31.4,44.7,32.4,59.6,99,121.4,92.2,148.2,68.1
2019.03.11,76.8,80.5,74,45.8,51.3,31.4,44.7,32.4,59.6,99,121.4,92.2,148.2,68.1,76.8
2019.03.18,80.5,41.4,45.8,51.3,31.4,44.7,32.4,59.6,99,121.4,92.2,148.2,68.1,76.8,80.5
2019.03.25,41.4,24.1,51.3,31.4,44.7,32.4,59.6,99,121.4,92.2,148.2,68.1,76.8,80.5,41.4
2019.04.01,24.1,26,31.4,44.7,32.4,59.6,99,121.4,92.2,148.2,68.1,76.8,80.5,41.4,24.1
2019.04.08,26,84,44.7,32.4,59.6,99,121.4,92.2,148.2,68.1,76.8,80.5,41.4,24.1,26
2019.04.15,84,70.5,32.4,59.6,99,121.4,92.2,148.2,68.1,76.8,80.5,41.4,24.1,26,84
2019.04.22,70.5,16.2,59.6,99,121.4,92.2,148.2,68.1,76.8,80.5,41.4,24.1,26,84,70.5
2019.04.30,16.2,41.1,99,121.4,92.2,148.2,68.1,76.8,80.5,41.4,24.1,26,84,70.5,16.2
2019.05.07,41.1,79,121.4,92.2,148.2,68.1,76.8,80.5,41.4,24.1,26,84,70.5,16.2,41.1
2019.05.13,79,42.5,92.2,148.2,68.1,76.8,80.5,41.4,24.1,26,84,70.5,16.2,41.1,79
2019.05.20,42.5,35.9,148.2,68.1,76.8,80.5,41.4,24.1,26,84,70.5,16.2,41.1,79,42.5
2019.05.28,35.9,68.7,68.1,76.8,80.5,41.4,24.1,26,84,70.5,16.2,41.1,79,42.5,35.9
2019.06.03,68.7,34.6,76.8,80.5,41.4,24.1,26,84,70.5,16.2,41.1,79,42.5,35.9,68.7
2019.06.10,34.6,77.6,80.5,41.4,24.1,26,84,70.5,16.2,41.1,79,42.5,35.9,68.7,34.6
2019.06.17,77.6,74.4,41.4,24.1,26,84,70.5,16.2,41.1,79,42.5,35.9,68.7,34.6,77.6
2019.06.24,74.4,8.3,24.1,26,84,70.5,16.2,41.1,79,42.5,35.9,68.7,34.6,77.6,74.4
2019.07.02,8.3,67.1,26,84,70.5,16.2,41.1,79,42.5,35.9,68.7,34.6,77.6,74.4,8.3
2019.07.08,67.1,63.7,84,70.5,16.2,41.1,79,42.5,35.9,68.7,34.6,77.6,74.4,8.3,67.1
2019.07.15,63.7,5.9,70.5,16.2,41.1,79,42.5,35.9,68.7,34.6,77.6,74.4,8.3,67.1,63.7
2019.07.23,5.9,4.3,16.2,41.1,79,42.5,35.9,68.7,34.6,77.6,74.4,8.3,67.1,63.7,5.9
2019.07.29,4.3,65.4,41.1,79,42.5,35.9,68.7,34.6,77.6,74.4,8.3,67.1,63.7,5.9,4.3
2019.08.05,65.4,22.1,79,42.5,35.9,68.7,34.6,77.6,74.4,8.3,67.1,63.7,5.9,4.3,65.4
2019.08.12,22.1,106.9,42.5,35.9,68.7,34.6,77.6,74.4,8.3,67.1,63.7,5.9,4.3,65.4,22.1
2019.08.19,106.9,15.3,35.9,68.7,34.6,77.6,74.4,8.3,67.1,63.7,5.9,4.3,65.4,22.1,106.9
2019.08.26,15.3,40.7,68.7,34.6,77.6,74.4,8.3,67.1,63.7,5.9,4.3,65.4,22.1,106.9,15.3
2019.09.03,40.7,5.4,34.6,77.6,74.4,8.3,67.1,63.7,5.9,4.3,65.4,22.1,106.9,15.3,40.7
2019.09.10,5.4,43.8,77.6,74.4,8.3,67.1,63.7,5.9,4.3,65.4,22.1,106.9,15.3,40.7,5.4
2019.09.16,43.8,4.2,74.4,8.3,67.1,63.7,5.9,4.3,65.4,22.1,106.9,15.3,40.7,5.4,43.8
2019.09.24,4.2,47.8,8.3,67.1,63.7,5.9,4.3,65.4,22.1,106.9,15.3,40.7,5.4,43.8,4.2
2019.09.30,47.8,3.2,67.1,63.7,5.9,4.3,65.4,22.1,106.9,15.3,40.7,5.4,43.8,4.2,47.8
2019.10.07,3.2,29.4,63.7,5.9,4.3,65.4,22.1,106.9,15.3,40.7,5.4,43.8,4.2,47.8,3.2
2019.10.14,29.4,65.9,5.9,4.3,65.4,22.1,106.9,15.3,40.7,5.4,43.8,4.2,47.8,3.2,29.4
2019.10.21,65.9,88.7,4.3,65.4,22.1,106.9,15.3,40.7,5.4,43.8,4.2,47.8,3.2,29.4,65.9
2019.10.28,88.7,86,65.4,22.1,106.9,15.3,40.7,5.4,43.8,4.2,47.8,3.2,29.4,65.9,88.7
2019.11.04,86,26.9,22.1,106.9,15.3,40.7,5.4,43.8,4.2,47.8,3.2,29.4,65.9,88.7,86
2019.11.11,26.9,32.8,106.9,15.3,40.7,5.4,43.8,4.2,47.8,3.2,29.4,65.9,88.7,86,26.9
2019.11.18,32.8,62.2,15.3,40.7,5.4,43.8,4.2,47.8,3.2,29.4,65.9,88.7,86,26.9,32.8
2019.11.25,62.2,48.2,40.7,5.4,43.8,4.2,47.8,3.2,29.4,65.9,88.7,86,26.9,32.8,62.2
2019.12.02,48.2,99.5,5.4,43.8,4.2,47.8,3.2,29.4,65.9,88.7,86,26.9,32.8,62.2,48.2
2019.12.09,99.5,74.6,43.8,4.2,47.8,3.2,29.4,65.9,88.7,86,26.9,32.8,62.2,48.2,99.5
2019.12.16,74.6,58.8,4.2,47.8,3.2,29.4,65.9,88.7,86,26.9,32.8,62.2,48.2,99.5,74.6
2019.12.23,58.8,69.7,47.8,3.2,29.4,65.9,88.7,86,26.9,32.8,62.2,48.2,99.5,74.6,58.8
2020.01.06,69.7,16.9,3.2,29.4,65.9,88.7,86,26.9,32.8,62.2,48.2,99.5,74.6,58.8,69.7
2020.01.13,16.9,20.9,29.4,65.9,88.7,86,26.9,32.8,62.2,48.2,99.5,74.6,58.8,69.7,16.9
2020.01.20,20.9,21.4,65.9,88.7,86,26.9,32.8,62.2,48.2,99.5,74.6,58.8,69.7,16.9,20.9
2020.01.28,21.4,28.3,88.7,86,26.9,32.8,62.2,48.2,99.5,74.6,58.8,69.7,16.9,20.9,21.4
2020.02.03,28.3,24,86,26.9,32.8,62.2,48.2,99.5,74.6,58.8,69.7,16.9,20.9,21.4,28.3
2020.02.10,24,45.3,26.9,32.8,62.2,48.2,99.5,74.6,58.8,69.7,16.9,20.9,21.4,28.3,24
2020.02.18,45.3,57.4,32.8,62.2,48.2,99.5,74.6,58.8,69.7,16.9,20.9,21.4,28.3,24,45.3
2020.02.24,57.4,27.9,62.2,48.2,99.5,74.6,58.8,69.7,16.9,20.9,21.4,28.3,24,45.3,57.4
