p H,DO,EC,WT,BOD,COD,TOC,Chla,SS,TN, T P,NH3N,PO4P,Flow,Rain,logTC,logFC
7.2 ,7.4 ,305.3 ,26.9 ,2.5 ,8.4 ,6.4 ,17.8 ,9.4 ,1.399 ,0.112 ,0.028 ,0.050 ,32.126 ,396.1 ,3.1676 ,2.1757 
7.5 ,9.7 ,182.3 ,23.1 ,2.1 ,5.3 ,4.5 ,18.5 ,7.4 ,1.922 ,0.082 ,0.031 ,0.036 ,11.455 ,129.7 ,3.8700 ,3.0588 
8.0 ,11.3 ,272.2 ,16.2 ,2.0 ,5.8 ,5.3 ,13.8 ,5.6 ,1.969 ,0.078 ,0.032 ,0.030 ,6.158 ,125.0 ,3.7024 ,2.7827 
7.5 ,10.4 ,304.5 ,11.2 ,1.8 ,5.8 ,5.8 ,18.1 ,5.5 ,2.035 ,0.088 ,0.013 ,0.038 ,2.320 ,47.2 ,3.5112 ,2.4005 
7.7 ,13.0 ,318.8 ,5.9 ,1.8 ,4.3 ,4.9 ,18.5 ,4.5 ,2.509 ,0.071 ,0.078 ,0.034 ,3.693 ,32.4 ,3.2469 ,2.4101 
7.9 ,12.5 ,382.5 ,3.4 ,1.7 ,4.3 ,4.3 ,16.6 ,4.6 ,2.710 ,0.073 ,0.092 ,0.014 ,2.649 ,16.4 ,2.6677 ,2.2378 
7.9 ,13.1 ,333.3 ,4.7 ,2.8 ,6.6 ,5.6 ,41.1 ,8.5 ,2.502 ,0.100 ,0.130 ,0.028 ,2.677 ,37.0 ,2.9758 ,2.2196 
8.4 ,12.5 ,337.3 ,9.5 ,4.4 ,9.0 ,7.3 ,77.0 ,17.0 ,1.753 ,0.170 ,0.036 ,0.014 ,2.001 ,33.9 ,3.2885 ,1.8534 
8.2 ,10.6 ,314.6 ,15.1 ,4.3 ,9.5 ,7.0 ,52.8 ,13.5 ,1.404 ,0.161 ,0.165 ,0.020 ,2.843 ,84.7 ,2.5985 ,1.6209 
8.0 ,8.2 ,277.5 ,19.7 ,3.7 ,8.9 ,6.9 ,40.6 ,16.3 ,1.501 ,0.156 ,0.272 ,0.041 ,5.198 ,78.8 ,3.2907 ,2.4754 
6.9 ,8.6 ,252.3 ,23.2 ,3.5 ,9.8 ,7.9 ,17.0 ,10.5 ,1.820 ,0.144 ,0.177 ,0.053 ,5.329 ,158.0 ,3.4303 ,2.5146 
7.2 ,7.7 ,216.0 ,25.5 ,2.6 ,7.5 ,6.5 ,9.2 ,10.5 ,1.856 ,0.102 ,0.103 ,0.064 ,13.018 ,242.2 ,3.9551 ,3.3133 
7.0 ,7.8 ,219.3 ,27.1 ,2.6 ,7.9 ,7.0 ,20.6 ,6.7 ,1.130 ,0.089 ,0.039 ,0.040 ,6.699 ,64.8 ,3.7610 ,3.0580 
7.2 ,8.2 ,236.4 ,23.2 ,1.6 ,5.7 ,4.4 ,6.5 ,4.2 ,1.729 ,0.077 ,0.037 ,0.057 ,10.480 ,165.8 ,3.8237 ,3.3860 
7.6 ,10.3 ,251.8 ,16.8 ,1.3 ,4.6 ,3.3 ,10.1 ,4.1 ,1.968 ,0.048 ,0.031 ,0.024 ,6.811 ,149.9 ,3.6254 ,3.1169 
7.8 ,9.6 ,318.0 ,12.6 ,3.4 ,7.0 ,6.5 ,50.2 ,11.4 ,1.974 ,0.077 ,0.050 ,0.026 ,3.572 ,22.8 ,3.6187 ,3.0919 
7.9 ,11.9 ,344.0 ,5.9 ,2.9 ,5.1 ,4.9 ,28.0 ,6.0 ,2.557 ,0.055 ,0.077 ,0.025 ,3.814 ,31.6 ,3.4131 ,2.5658 
