Point,BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chl-a
ap_현풍,2.1,6.8,3.795,3.496,2.932,0.196,0.139,0.09,0.081,27.4
ap_현풍,2.4,6.8,3.714,3.462,3.066,0.109,0.096,0.06,0.044,30.5
ap_현풍,2.3,6.2,3.343,3.228,2.557,0.166,0.055,0.031,0.015,29.6
ap_현풍,2.8,6.6,3.802,3.661,3.048,0.223,0.052,0.035,0.013,32.7
ap_현풍,2.9,7.5,3.442,3.286,2.422,0.237,0.042,0.026,0.013,30.1
ap_현풍,2.4,7.5,3.516,3.37,2.784,0.19,0.054,0.032,0.02,24.7
ap_현풍,2.2,6.8,3.431,3.271,2.485,0.127,0.04,0.021,0.01,22
ap_현풍,2.4,7.2,3.661,3.493,2.773,0.147,0.056,0.033,0.018,26.4
ap_현풍,2.4,6.9,3.22,3.081,2.481,0.118,0.05,0.033,0.018,21.9
aq_회천2,1.6,3.6,2.177,1.805,1.466,0.088,0.051,0.038,0.024,7.9
aq_회천2,1.6,3.9,2.355,2.187,1.919,0.095,0.058,0.037,0.015,9.4
aq_회천2,1.3,3.1,2.213,2.095,1.886,0.09,0.042,0.021,0.015,9.5
aq_회천2,1.5,4.6,2.154,2.051,1.499,0.211,0.031,0.021,0.015,11.5
aq_회천2,1.7,5,2.05,1.97,1.55,0.127,0.038,0.03,0.019,12.6
aq_회천2,1.3,4.7,2.063,1.982,1.715,0.094,0.033,0.027,0.017,7.5
aq_회천2,1.2,4.1,2.064,1.965,1.595,0.082,0.037,0.027,0.018,4.4
aq_회천2,1.3,3.8,1.944,1.854,1.645,0.083,0.027,0.021,0.008,7.7
aq_회천2,1.2,3.4,1.933,1.849,1.621,0.111,0.032,0.021,0.013,7.2
aq_회천2,1.4,3.8,1.862,1.745,1.72,0.139,0.029,0.023,0.011,6.3
aq_회천2,1.5,4.4,1.903,1.849,1.447,0.117,0.025,0.018,0.009,7.3
aq_회천2,1.4,4.3,2.106,2.059,1.896,0.113,0.033,0.028,0.019,6.9
aq_회천2,2.5,4.4,1.776,1.724,1.288,0.075,0.019,0.016,0.008,9.6
