Flow,BOD,COD,TN,NO3N,NH3N,TP,PO4P,Chla,TOC,TC,FC,Precipitation
21.184,5.8,12.5,5.834,1.772,3.224,0.349,0.019,84,8.8,23000,1300,39.2
14.51,5.8,12.7,6.98,1.799,4.554,0.253,0.021,70.5,8.5,2200,240,0
25.249,5.8,12.2,3.922,1.255,2.428,0.407,0.156,16.2,8.3,310000,61000,35.2
7.723,4.7,9.7,6.186,2.356,3.514,0.147,0.023,41.1,7.3,3600,250,0
5.984,5.5,11.9,6.702,2.485,4.021,0.192,0.019,79,8.4,1500,220,0
13.853,4.3,9.7,4.323,1.724,1.271,0.181,0.038,42.5,7,7000,1600,50.9
36.764,4.5,9.8,3.15,1.115,1.763,0.269,0.101,35.9,8,240000,76000,25.9
21.386,6.3,13.5,4.318,1.743,2.49,0.195,0.016,68.7,10.9,1400,360,2
21.006,5.4,11.1,3.511,1.413,2.037,0.247,0.085,34.6,8,30000,1300,44.5
7.44,6.9,14.9,4.374,2.06,2.197,0.225,0.009,77.6,8.6,4700,21,4.2
8.625,6.8,14.4,5.528,1.635,3.397,0.132,0.037,74.4,9.3,40000,7800,0.8
31.49,4.8,10.8,4.91,1.914,2.785,0.217,0.15,8.3,8.7,77000,74000,120.5
17.809,4.8,14.6,4.727,1.475,2.016,0.127,0.02,67.1,10.7,1400,540,0.4
9.6,4.4,10.4,4.924,1.383,2.685,0.163,0.025,63.7,11.1,42000,900,38.8
41.395,3.5,8.3,3.651,1.783,1.52,0.154,0.114,5.9,8.1,72000,22000,85
72.506,2.8,7,2.39,1.728,0.633,0.153,0.088,4.3,7.7,82000,29000,87.5
9.967,4.6,10,3.816,1.865,1.529,0.165,0.005,65.4,5.9,1000,320,0
155.564,3.1,12.8,3.724,1.356,1.989,0.305,0.188,22.1,11,210000,79000,18.8
12.8,5.1,10.2,4.803,2.405,1.756,0.151,0.019,106.9,10.3,2400,800,0.4
27.34,3.3,7.1,3.33,2.208,1.024,0.102,0.04,15.3,7.1,6200,12000,35.9
24.1,3.8,6.4,3.69,1.526,1.444,0.078,0.035,40.7,4.9,7900,5700,26.2
