site,A_leaves,B_plants,C_algae,D_compost,E_soil,F_effluent,G_sewage,H_groundwater,round
JS-31,0.017,0.018,0.091,0.031,0.14,0.577,0.092,0.034,round09
JS-32,0.016,0.017,0.092,0.033,0.14,0.544,0.119,0.038,round09
JS-33,0.015,0.016,0.08,0.032,0.115,0.535,0.16,0.048,round09
JS-34,0.02,0.019,0.08,0.039,0.141,0.582,0.087,0.032,round09
JS-35,0.019,0.018,0.08,0.037,0.147,0.574,0.093,0.032,round09
JS-36,0.02,0.018,0.087,0.037,0.137,0.568,0.099,0.035,round09
JS-01,0.011,0.012,0.087,0.021,0.148,0.612,0.059,0.048,round10
JS-02,0.016,0.016,0.093,0.029,0.176,0.584,0.046,0.039,round10
JS-03,0.014,0.018,0.113,0.024,0.156,0.567,0.059,0.048,round10
JS-04,0.02,0.021,0.101,0.033,0.183,0.563,0.042,0.037,round10
JS-05,0.015,0.016,0.096,0.024,0.169,0.577,0.056,0.047,round10
JS-06,0.013,0.018,0.114,0.025,0.171,0.554,0.055,0.049,round10
JS-07,0.018,0.018,0.103,0.029,0.177,0.568,0.049,0.039,round10
JS-08,0.013,0.018,0.114,0.025,0.168,0.542,0.064,0.058,round10
JS-09,0.014,0.015,0.102,0.026,0.163,0.57,0.059,0.051,round10
JS-10,0.012,0.015,0.109,0.021,0.153,0.541,0.077,0.07,round10
JS-11,0.013,0.017,0.107,0.022,0.163,0.547,0.068,0.064,round10
JS-12,0.013,0.017,0.109,0.025,0.156,0.564,0.062,0.054,round10
JS-13,0.013,0.016,0.101,0.025,0.167,0.562,0.061,0.054,round10
JS-14,0.012,0.019,0.117,0.024,0.164,0.549,0.057,0.059,round10
JS-15,0.015,0.016,0.096,0.027,0.172,0.579,0.053,0.043,round10
