지점,지점명,일시,M기온,최저기온,최저기온날,최고기온,최고기온날,M최저기온,M최고기온,M해면기압,S강수량,일최다강수량,일최다강수량날,M상대습도,S일조시간,일조율,S일사량,M풍속,최다풍향,S소형증발량,S대형증발량
187,성산,1979,15.5,-3.2,19790207,32.7,19790806,11.4,19.4,,1887.2,143,19790824,79,2377.7,53.68,10062.44,3.1,340,1137.6,
187,성산,1980,14.4,-4.8,19800108,31.1,19800729,10.7,17.9,,2317.3,156,19800829,78.3,2179.1,49.07,8771.78,3.2,320,972.5,
187,성산,1981,14.8,-5.7,19810226,33.6,19810726,10.7,18.5,,1980.5,254,19810902,74.2,2366.1,53.41,9204.19,3.2,320,1159.6,
187,성산,1982,15.2,-2.7,19820129,33.1,19820711,11,19,,1446.8,72.1,19820813,77.7,2218,50.07,3878.07,2.9,320,1108.1,
187,성산,1983,15.3,-6.1,19830214,35.5,19830804,11.4,19,,1958.9,140.3,19830927,77.9,1963.6,44.17,,2.8,340,1040.9,
187,성산,1984,14.8,-4.3,19840206,33.3,19840812,10.8,18.5,,1255,151.5,19840907,75.8,2141.3,48.07,,2.7,320,1278.1,
187,성산,1985,15.3,-3.5,19850130,32.7,19850807,11.4,18.8,,3193.9,217.4,19850626,76.8,1861.8,41.88,,2.8,320,1206.6,
187,성산,1986,14.6,-4.6,19860105,32.9,19860820,10.3,18.5,1017.9,1801.3,109,19860828,75,2099.5,47.23,,2.6,320,1287,
187,성산,1987,15.3,-4.2,19870203,32.3,19870804,11,19.2,1018.1,2323.5,165.5,19870830,77.1,1985.4,44.66,,2.8,320,1204.3,
187,성산,1988,15.3,-5.3,19880204,32.9,19880715,11.1,19.1,1017.5,1264.4,112.5,19880726,73.5,2250.2,50.63,,2.8,320,1290.2,
187,성산,1989,15.5,-2.5,19890205,33.1,19890813,11.4,19.4,1017.7,1696.1,105.5,19890608,78.7,2096.6,47.17,,2.7,320,1127.2,
187,성산,1990,16.1,-7,19900123,34.1,19900806,12,19.9,1017.7,1952.3,143,19900906,78.3,2125.1,47.8,,2.8,320,1189.2,
187,성산,1991,15.2,-4.4,19910223,32.6,19910723,11.8,18.6,1016.3,1983.8,136.8,19910704,76.6,2324.9,52.3,,3.1,320,,
187,성산,1992,15.6,-2.2,19920221,32.9,19920808,11.9,19.4,1016.4,1981.4,296.5,19920812,72.2,2429.1,54.7,,3.3,340,,
187,성산,1993,14.4,-2.9,19930128,30.1,19930711,10.5,18.3,1016.7,2025.4,158.5,19930814,70.6,1599.9,35.99,,3.3,340,,
187,성산,1994,15.6,-3.5,19940124,36.2,19940720,11.6,19.4,1016.4,1509.3,170,19940811,68.8,2057.2,46.28,,3.2,340,,
187,성산,1995,14.5,-4.4,19950129,33.1,19950817,10.6,18.4,1017,2169.8,302,19950702,67.8,1967.4,44.26,,3.2,340,,
187,성산,1996,14.8,-3.9,19960210,33.5,19960809,11,18.9,1016.9,1757.9,151,19961031,69.3,1954.9,43.88,,3.1,340,,
187,성산,1997,15.5,-3.1,19970122,33.7,19970728,11.7,19.6,1016.7,1803,150,19971125,65.3,1961.4,44.13,,2.8,340,,
187,성산,1998,16.4,-3.1,19980124,33.7,19980816,12.9,20.3,1016.4,2235.9,176.5,19980823,73.7,1825.1,41.05,,2.9,340,,
187,성산,1999,15.4,-2.3,19991220,32.3,19990818,11.9,19.3,1016.2,2328,164.5,19990701,79,1676.4,37.71,,3.1,320,,
187,성산,2000,15.3,-2.9,20000218,33.4,20000812,11.6,19.2,1016.7,1370,100.5,20000915,75.8,1636.3,47.43,,3.2,320,,
187,성산,2001,14.8,-5.1,20010209,32.7,20010823,11.2,18.6,1016.8,1856.5,129.5,20010710,66,2131.5,47.95,,3.3,340,,
187,성산,2002,15.7,-2.5,20020220,31.8,20020716,12.2,19.4,1016.7,1781.5,114,20020831,72.6,2059.6,46.3,,3.1,340,,
187,성산,2003,16.5,-1.7,20030213,33.7,20030806,13.2,20,1017,2550.5,163.5,20030817,76.6,1955.9,43.97,,2.9,340,,
187,성산,2004,15.8,-4.8,20040122,35,20040731,11.9,19.8,1016.1,1962.5,251.5,20040822,71.9,2266.5,50.84,,3.1,340,,
187,성산,2005,15.3,-3.4,20050222,34.7,20050816,11.7,19.2,1016.1,1588,113.5,20050730,73.8,2183.8,49.09,,3.2,340,,
187,성산,2006,15.7,-3.2,20060203,32.4,20060815,12.4,19,1015.7,2238,152.5,20060630,75,1820.8,40.93,,3.3,320,,
187,성산,2007,16.3,0.5,20070202,32.7,20070803,13.1,19.6,1015.6,2582.5,294.5,20070905,71.5,1758.2,39.53,,3.4,290,,
187,성산,2008,,-0.8,20080117,32.1,20080801,,,,1372.2,136,20080810,,1241.9,39.26,,,290,,
