BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chl-a,BOD_lag,COD_lag,T-N_lag,DTN_lag,NO3-N_lag,NH3-N_lag,T-P_lag,DTP_lag,PO4-P_lag,Chl-a_lag
1.4,4.2,3.816,3.699,3.053,0.391,0.023,0.013,0.007,7.8,0.9,3.8,3.54,3.465,3.044,0.221,0.024,0.018,0.012,4.4
2.2,5.2,3.436,3.242,2.737,0.277,0.031,0.016,0.005,18.4,1.4,4.2,3.816,3.699,3.053,0.391,0.023,0.013,0.007,7.8
1.8,4.6,2.544,2.426,2.108,0.057,0.03,0.018,0.008,13.6,2.2,5.2,3.436,3.242,2.737,0.277,0.031,0.016,0.005,18.4
2.7,5.6,2.064,1.869,1.364,0.13,0.032,0.016,0.011,21.8,1.8,4.6,2.544,2.426,2.108,0.057,0.03,0.018,0.008,13.6
3.3,6.1,1.756,1.514,0.943,0.135,0.043,0.018,0.005,32.3,2.7,5.6,2.064,1.869,1.364,0.13,0.032,0.016,0.011,21.8
3.1,6.7,1.864,1.674,1.086,0.064,0.052,0.026,0.013,48.2,3.3,6.1,1.756,1.514,0.943,0.135,0.043,0.018,0.005,32.3
2.7,6.5,2.036,1.727,1.293,0.09,0.042,0.022,0.012,28,3.1,6.7,1.864,1.674,1.086,0.064,0.052,0.026,0.013,48.2
2.2,5.5,2.114,1.934,1.432,0.05,0.044,0.026,0.009,21.3,2.7,6.5,2.036,1.727,1.293,0.09,0.042,0.022,0.012,28
1.3,4.6,2.308,2.216,1.61,0.037,0.03,0.021,0.01,14.9,2.2,5.5,2.114,1.934,1.432,0.05,0.044,0.026,0.009,21.3
1.9,4.5,2.974,2.803,2.108,0.032,0.024,0.012,0.003,12.4,1.3,4.6,2.308,2.216,1.61,0.037,0.03,0.021,0.01,14.9
2.5,4.5,3.913,3.739,2.843,0.186,0.027,0.015,0.003,8.6,1.9,4.5,2.974,2.803,2.108,0.032,0.024,0.012,0.003,12.4
1.9,4.5,4.572,4.306,2.997,0.369,0.025,0.016,0.002,9.5,2.5,4.5,3.913,3.739,2.843,0.186,0.027,0.015,0.003,8.6
2.2,4.6,4.055,3.882,2.428,0.397,0.029,0.021,0.011,10,1.9,4.5,4.572,4.306,2.997,0.369,0.025,0.016,0.002,9.5
1.6,5.1,4.032,3.896,3.45,0.174,0.029,0.016,0.009,11.8,2.2,4.6,4.055,3.882,2.428,0.397,0.029,0.021,0.011,10
1.9,4.5,2.994,2.92,2.405,0.098,0.041,0.027,0.016,11.5,1.6,5.1,4.032,3.896,3.45,0.174,0.029,0.016,0.009,11.8
2,5,2.728,2.56,2.184,0.095,0.028,0.017,0.008,11.3,1.9,4.5,2.994,2.92,2.405,0.098,0.041,0.027,0.016,11.5
2,6.9,2.12,1.907,1.346,0.087,0.053,0.03,0.019,28.6,2,5,2.728,2.56,2.184,0.095,0.028,0.017,0.008,11.3
2,7.3,2.503,2.302,1.858,0.067,0.085,0.05,0.042,14.7,2,6.9,2.12,1.907,1.346,0.087,0.053,0.03,0.019,28.6
