region,spot,year,month,day,half,pollution,depth,WT,DO,pH,EC,sand,silt,clay,moisture,combustible,COD,TOC,TN,TP,SRP,Pb,Zn,Cu,Cr,Ni,As,Cd,Hg,Al,Li
Geum,금강,2019,9,19,second,slightlybad,1.8,23,10.9,8.9,369,98.7,1.3,0,18.7,0.55,0.09,0.18,647,276,0,47,243.1,69,96.4,44,9.9,0.62,0.088,9.02,77.1
Geum,금강D,2019,9,25,second,slightlybad,1.4,20,8.5,7.8,252,98.4,1.6,0,19.1,0.57,0.08,0.11,568,214,0,48.9,193.3,64,107.7,45.2,11,0.71,0.051,8.22,49.6
Geum,금강U,2019,9,18,second,slightlybad,1.5,24,10.7,8.5,369,97.6,2.4,0,18.2,0.57,0.09,0.18,677,227,0,55.1,247.7,75.4,105.5,51.8,9.6,0.72,0.075,8.55,72.2
Yeongsan,금산천,2019,9,28,second,normal,0.8,24,12.9,8.1,1088,41.1,50.6,8.3,42.6,5.85,1.25,0.99,1430,480,0.9,31.4,97.3,20.1,57.9,24.4,7,0.17,0.027,10.1,62
Nakdong,금호강6,2019,9,26,second,normal,2.2,21,7.1,7.4,353,100,0,0,18.4,0.43,0.02,0.04,399,100,0,29.6,100.7,20.6,82.6,25.3,7,0.29,0.047,8.28,47.6
Nakdong,낙단,2019,9,30,second,normal,10,24,13.9,10,217,26.9,61.8,11.3,43.2,6.48,1.89,1.66,2411,596,0,32.4,133.6,23,57.1,26.2,9.4,0.37,0.055,8.43,55.6
Nakdong,낙단D,2019,9,23,second,normal,4.6,18,10,7.9,189,99.2,0.8,0,17.7,0.57,0.1,0.1,466,98,0,26.9,88.8,20.4,67.3,22.8,10.2,0.33,0.026,6.59,33.7
Nakdong,낙단U,2019,9,30,second,slightlybad,9.1,23,10.9,9,205,89.5,10.2,0.3,21,1.04,0.29,0.16,510,168,0,33,166.9,24,55.4,25.3,9.9,0.49,0.069,8.78,54.9
Yeongsan,남해봉천,2019,9,18,second,slightlybad,0.8,22,8.1,8,188,89.3,9.7,1,23.1,1.83,0.14,0.32,437,642,1,46.4,306.1,74.6,82.4,35.3,10,0.61,0.084,9.64,48.4
Nakdong,논공,2019,9,27,second,slightlybad,9.9,21,9.3,8.3,239,100,0,0,20.2,0.56,0.04,0.06,457,136,0,29.8,84.1,17.1,105.1,21,7.3,0.49,0.023,6.04,23.8
Nakdong,논공U,2019,9,27,second,slightlybad,9.1,22,9.5,8,245,88.2,11.8,0,18,0.92,0.14,0.18,725,202,0,30.7,154.8,33,59,34.8,6.6,0.33,0.087,7.89,48.6
