site,yyyymm,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
함평,2018/12,8.6,14.1,4.2,10.1,13.1,4.371,0.092,8.1,7.8,392,4000,4.354,1.18,2.743,0.041,0.028,67.6,150,34.69 
함평,2019/01,8.5,15.9,4.7,10.1,17.4,6.836,0.103,8.6,4.4,439,40,6.345,1.333,4.063,0.035,0.013,100.7,20,45.87 
함평,2019/02,8.9,15.9,6.1,13.1,18.2,6.029,0.132,9.7,5.1,411,220,5.885,1.965,2.964,0.048,0.012,104.4,10,28.37 
함평,2019/12,7.8,11.5,3.6,7.1,7.4,5.379,0.055,6,8.5,409,2000,5.236,1.75,3.046,0.042,0.025,23.8,520,34.57 
무안1,2017/01,7.9,13.8,3.8,6.6,11.7,5.529,0.059,3.8,5.4,411,64,5.027,0.698,3.256,0.034,0.021,33.1,24,73.24 
무안1,2017/02,8.4,14.2,4.4,7.9,19,4.777,0.064,4.8,5.2,346,35,4.495,0.223,3.008,0.018,0.001,65.7,7,40.20 
무안1,2017/12,7.8,13.1,2.5,6.8,9.5,4.709,0.056,4.1,5.5,439,93,4.557,0.541,3.186,0.029,0.007,29.4,33,48.23 
무안1,2018/01,8,13.8,2,7.8,8.4,6.654,0.066,4.3,4.9,496,209,6.574,1.574,3.259,0.038,0.018,23.1,20,13.04 
무안1,2018/02,8.2,14.5,4.4,10.1,17.4,6.569,0.081,5.1,4,508,155,6.21,1.782,3.099,0.032,0.005,59,18,31.55 
무안1,2018/12,7.6,9.7,2.6,6.8,11.5,5.489,0.073,4.1,7.1,365,165,5.123,1.112,2.492,0.039,0.017,44.2,45,40.44 
무안1,2019/01,8,14.5,4.4,8.2,19.6,5.554,0.07,5.4,4.4,455,41,5.269,0.73,3.589,0.029,0.004,100.8,5,53.81 
무안1,2019/02,7.7,12.3,3.6,8.7,13.3,6.341,0.097,4.6,5.3,439,30,6.125,1.675,3.161,0.036,0.006,43.1,10,35.89 
무안1,2019/12,7.9,14.3,2.8,7.4,15.8,4.427,0.056,3.8,7.6,375,55,4.114,0.579,2.888,0.026,0.005,43.6,29,37.66 
