사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202209,2호선,잠실나루,27,0,3176,1835,11192,9824,37493,20971,45305,34916,28877,23657,22563,17366,22147,15787,21666,19069,19784,20397,20702,19140,23354,19014,27736,20657,33294,26800,28418,37719,13797,28447,10446,17603,7898,16470,6282,16749,2695,9658,408,2641,0,38,0,2,0,0,20221003
202209,2호선,잠실새내,30,0,4919,783,16797,8105,54342,15658,75017,26223,46448,27960,30858,22854,28592,24448,30098,28307,30075,33030,27415,34742,31087,39622,33920,46613,37704,60840,40096,81343,29103,56356,24705,32642,24495,29185,26578,28318,14883,15883,2357,4550,7,197,0,1,0,0,20221003
202209,2호선,종합운동장,9,0,1675,876,5488,9482,16075,16832,22355,27621,15455,16546,11854,16190,12282,14346,15383,23475,16118,39380,15426,28656,18250,38662,27204,58554,40273,84121,20999,79010,15534,24312,32603,11719,52913,10832,108784,12646,9725,5811,378,1511,1,112,0,0,0,0,20221003
202209,2호선,충정로(경기대입구),50,2,3092,1096,6540,6491,14928,21510,21219,57086,13624,26207,10166,12611,11140,10403,11698,10675,12371,11839,12950,11124,13898,11226,17330,12714,27625,15783,44059,20900,14293,14325,8958,9365,8425,9349,6453,8552,3019,6023,597,1900,0,67,0,6,0,0,20221003
202209,2호선,한양대,8,1,943,266,2309,5788,5079,11789,8480,65396,5832,56225,7846,50999,12834,15498,16795,33815,19399,27078,23874,19499,31758,12320,42025,10828,52455,14649,40321,18933,18763,8890,15767,5727,17876,5554,10123,5513,4905,3758,1024,1152,3,33,0,1,0,0,20221003
202209,2호선,합정,72,5,9255,2724,17301,13614,41513,32106,54366,90657,35497,80476,25977,48241,27699,46262,33233,49382,36937,54230,40322,50568,44604,52154,52474,61993,69871,78953,107174,112147,71497,75003,57841,39805,62772,32280,62393,27795,32280,20050,5741,6939,44,335,0,3,0,0,20221003
202209,2호선,홍대입구,706,16,25688,3441,29893,16109,60553,36891,78695,103114,53704,129189,42728,87787,49898,100578,61322,119892,72535,130821,79821,120799,98414,126273,125986,138855,149520,170195,173357,214190,137197,151016,132247,85333,154784,68743,159755,58549,81436,43580,10862,15320,63,1716,0,15,0,0,20221003
202209,3호선,가락시장,28,8,2728,450,6739,6284,19548,11346,20766,27677,15778,15018,13484,10810,13611,10837,13220,11159,13159,11752,13298,12111,14109,14138,15976,15244,20174,18662,26364,23269,11604,16859,8886,10660,7557,9586,5082,8944,2133,5284,294,1755,2,46,1,1,0,0,20221003
202209,3호선,경복궁(정부서울청사),110,0,2418,1648,5717,13375,13362,39676,18897,122379,19164,89621,17257,58024,22639,55111,29669,50223,37310,48911,45590,44307,59329,37466,69705,36002,85499,37118,106425,41892,46032,25404,42205,12192,41721,10180,25962,9553,9994,5414,1085,1547,0,27,1,1,0,0,20221003
202209,3호선,경찰병원,19,0,2564,291,6846,2979,22507,8776,25075,25401,14208,13511,10834,8210,9676,6263,9035,7461,9197,8959,9248,7779,9917,8846,9478,9556,15087,14483,18422,20693,6362,15659,5013,9276,4431,8289,2985,8209,983,4939,120,1439,1,11,0,0,0,0,20221003
202209,3호선,고속터미널,101,4,4786,4343,7028,35066,24289,52045,41212,77251,48028,94057,49999,91569,62590,97328,73598,93891,83736,94793,94089,97037,106245,102712,117126,103641,137265,111575,134156,118964,117120,74294,133236,45232,87341,35164,58135,27171,23725,13254,2462,2427,26,19,0,2,0,0,20221003
202209,3호선,교대(법원.검찰청),60,0,1233,615,3566,6992,8990,19863,12613,46433,10750,35290,11315,16953,13971,11238,16081,10716,19353,11463,22742,10129,24690,9527,26977,10319,44432,14877,63000,18759,26436,9988,23053,5404,23908,4328,21437,4416,7976,2291,924,741,0,10,0,0,0,0,20221003
202209,3호선,구파발,106,2,10047,1403,30347,9860,84276,22701,74529,30329,43819,27283,30488,26653,28054,23854,29507,25728,28280,27700,28938,28010,31441,29172,37298,35091,37756,41638,30573,71059,20222,58256,15302,33110,12960,29829,10444,26178,2867,19569,424,8262,2,231,0,0,0,0,20221003
202209,3호선,금호,27,8,4321,537,9790,2582,25267,4540,35678,8980,21735,6124,14016,6183,11948,6512,11895,7741,11047,9265,9654,10043,9563,12600,11201,14889,11418,19607,11546,28631,7406,19873,5170,13782,4126,11900,3160,11928,1394,6402,226,1738,1,2,0,0,0,0,20221003
202209,3호선,남부터미널(예술의전당),72,1,2714,1290,8929,24858,28524,59129,40942,141365,33900,80755,31397,46307,35245,34351,37144,35589,40461,40822,42118,40641,45473,40818,58663,44826,92575,51063,126112,59727,57259,41803,41549,23669,38076,17785,28365,14488,9204,8581,793,2182,5,12,0,0,0,0,20221003
202209,3호선,녹번,45,1,9246,789,25255,3610,70023,7573,72578,17340,43701,10443,26806,9285,22260,10158,21634,12200,19457,13359,17290,15207,16496,19408,17378,25923,18138,34999,20468,57715,9978,48142,6933,28599,5836,25890,4342,23952,1436,14356,176,3994,0,9,0,0,0,0,20221003
202209,3호선,대청,61,2,3636,947,10780,6597,27860,17199,32866,25486,18933,11958,14902,8229,13169,7382,12854,9385,13274,9929,12564,10670,14732,13186,21692,15503,22876,18632,24920,26054,10844,22456,7175,14475,5979,13253,4627,14683,1572,7537,151,2301,3,17,0,0,0,0,20221003
202209,3호선,대치,16,0,2623,743,11376,8097,24482,19307,25287,28361,16259,17441,13188,12844,13130,12282,15251,15291,15363,19720,14352,17338,16618,19329,19026,27614,30107,31052,27959,29253,17091,22642,13028,11841,17560,11542,33980,10107,3411,6092,295,1891,1,7,0,1,0,0,20221003
202209,3호선,도곡,19,0,708,350,2771,4588,8567,13227,10071,18009,6985,14319,5473,6884,5369,6525,5911,6339,6104,6862,6591,6209,8703,6605,11989,6934,15457,8177,15688,9666,7830,8264,5637,4739,4668,4425,3796,4046,936,2585,126,1575,0,265,1,1,0,0,20221003
202209,3호선,독립문,119,1,4730,688,5709,5036,15183,14280,17788,21262,13899,16886,11585,15054,12615,11135,13698,10469,12763,11458,12944,11076,15223,11647,16624,13434,15894,14103,16185,16634,7905,13211,5642,8084,4688,7283,3377,6962,1212,4486,123,1747,5,650,0,1,0,0,20221003
202209,3호선,동대입구,17,3,1716,1172,2814,9450,6233,16146,8106,58682,6328,38988,6918,30780,10295,23935,11343,18968,14554,21697,18568,15772,20342,14114,25917,15787,35788,20538,45016,21768,19594,11089,17899,6040,23281,5499,16590,4336,6002,2677,554,905,2,83,0,0,0,0,20221003
